	Prophage	contig_length	gene_count	checkv_quality
3053825	FEWA01000022.1_PP3	5860	8	Medium-quality
3053887	FESQ01000010.1_PP2	5406	8	Medium-quality
3053901	FEUA01000052.1_PP4	5043	8	Medium-quality
3054157	FEVQ01000023.1_PP5	5236	6	Medium-quality
3054257	FEUG01000030.1_PP4	5858	8	Medium-quality
3054424	FEQQ01000040.1_PP7	5043	8	Medium-quality
3054562	FFDD01000052.1_PP8	5725	6	Medium-quality
3054615	FFBH01000048.1_PP5	5864	8	Medium-quality
3054621	FERY01000041.1_PP5	5858	8	Medium-quality
3057380	FEWU01000058.1_PP9	5725	6	Medium-quality
3057391	FEQV01000017.1_PP5	5725	6	Medium-quality
3057658	FEUE01000040.1_PP5	5858	8	Medium-quality
3057871	FETP01000012.1_PP5	5858	8	Medium-quality
3057906	FFBO01000008.1_PP4	5043	8	Medium-quality
3059177	FFSZ01000025.1_PP2	5760	11	Medium-quality
3061978	FEXY01000048.1_PP7	5197	9	Medium-quality
3061987	FEYJ01000007.1_PP2	5725	6	Medium-quality
3062275	FEXF01000043.1_PP7	5860	8	Medium-quality
3063137	FFAT01000041.1_PP6	5860	8	Medium-quality
3073001	FLYB01000006.1_PP2	4500	7	Medium-quality
3076146	LT592146.1_PP5	5975	9	Medium-quality
3076155	LT591897.1_PP7	5954	9	Medium-quality
3076186	LT591910.1_PP6	5971	9	Medium-quality
3076224	LT591901.1_PP1	5955	9	Medium-quality
3076244	LT592159.1_PP7	5969	9	Medium-quality
3108373	UGQZ01000001.1_PP6	5972	10	Medium-quality
3108390	UGQX01000001.1_PP5	5940	10	Medium-quality
3108392	UGQX01000001.1_PP7	5984	9	Medium-quality
3108428	UATF01000009.1_PP9	5972	9	Medium-quality
3108464	UATD01000005.1_PP1	5872	8	Medium-quality
3108466	UATD01000005.1_PP3	4881	7	Medium-quality
3108483	UGRM01000002.1_PP5	5974	8	Medium-quality
3108498	UATE01000003.1_PP7	5633	8	Medium-quality
3108517	UGRE01000003.1_PP6	5956	10	Medium-quality
3108528	UGRK01000002.1_PP4	5984	8	Medium-quality
3108538	UGRJ01000003.1_PP5	5954	10	Medium-quality
3108554	UGRA01000001.1_PP5	5954	9	Medium-quality
3108611	UGRC01000001.1_PP4	5954	9	Medium-quality
3111295	UHIK01000001.1_PP4	5066	10	Medium-quality
3112050	UPPP01000039.1_PP2	5076	7	Medium-quality
3113806	UCYD01000029.1_PP12	5876	8	Medium-quality
3115481	UDCU01000034.1_PP8	5218	8	Medium-quality
3210564	CADDXE010000011.1_PP3	5857	10	Medium-quality
